Geo_Type_Name,Start_Date,Data_Value
CD,12/01/2009,9.65
CD,12/01/2011,8.75
CD,06/01/2018,8.28
CD,06/01/2020,6.73
CD,06/01/2017,27
CD,06/01/2020,28.66
CD,06/01/2017,31.69
CD,12/31/2015,24.91
CD,06/01/2021,14.5
CD,06/01/2013,15.24
CD,06/01/2012,16.03
CD,06/01/2013,13.57
CD,06/01/2012,15.29
CD,12/31/2015,17.23
CD,06/01/2021,9.18
CD,12/01/2008,28.35
CD,12/01/2017,23.61
CD,12/01/2017,24.62
CD,12/01/2013,23.85
CD,01/01/2019,14.19
CD,12/01/2017,23.13
UHF42,01/01/2019,21.4
CD,06/01/2016,20.89
CD,06/01/2010,18.08
CD,12/01/2020,22.38
CD,06/01/2011,16.19
CD,06/01/2010,16.69
CD,12/01/2015,21.35
CD,12/01/2020,21.06
CD,06/01/2016,13.19
CD,06/01/2015,21.68
CD,06/01/2019,16.8
CD,12/01/2019,24.28
UHF42,01/02/2012,43.52
UHF42,01/01/2015,27.4
UHF42,01/02/2012,82.3
UHF42,01/02/2012,111.6
UHF42,01/02/2012,85.94
UHF42,01/01/2015,66.9
CD,06/01/2015,14.82
CD,12/01/2019,25.93
CD,12/01/2009,19.76
CD,12/01/2012,21.02
CD,12/01/2019,21.25
UHF34,12/01/2008,19.9
UHF34,01/01/2015,17.08
UHF34,01/01/2020,13.78
UHF34,12/01/2008,14.68
UHF34,12/01/2010,14.27
UHF34,12/01/2018,13.95
UHF34,01/01/2020,10.55
UHF42,01/01/2021,18.56
UHF42,01/01/2021,14.28
CD,12/01/2014,26.47
CD,01/01/2017,22.44
CD,01/01/2021,17.96
CD,12/01/2014,26.86
CD,01/01/2017,22.33
CD,12/01/2014,25.52
CD,01/01/2021,16.4
UHF34,12/01/2009,25.32
UHF34,06/01/2017,7.81
UHF42,06/01/2017,15.77
UHF42,12/01/2016,26.77
UHF42,06/01/2020,12.85
UHF42,12/01/2011,25.94
UHF42,12/01/2009,21.8
CD,01/01/2015,22.95
CD,01/01/2020,18.78
CD,01/01/2015,19.1
CD,01/01/2015,20.12
CD,12/01/2018,21.53
CD,06/01/2014,15.44
CD,01/01/2020,16.8
CD,12/01/2018,20.23
CD,06/01/2014,14.65
CD,01/01/2020,15.47
CD,06/01/2014,12.99
CD,01/01/2020,13.45
UHF42,12/01/2018,24.36
UHF42,12/01/2008,18.41
UHF42,01/01/2015,21.11
CD,06/01/2017,18.76
CD,12/01/2016,28.23
CD,06/01/2017,18.48
CD,06/01/2018,11.62
CD,06/01/2018,13.45
CD,12/01/2013,20.09
UHF42,12/01/2014,26.21
UHF42,12/01/2012,15.4
CD,12/01/2014,24.41
CD,12/01/2012,20.57
CD,01/01/2017,18.76
UHF34,06/01/2017,8.22
UHF34,06/01/2020,6.54
UHF34,12/01/2009,7.95
UHF34,12/01/2011,6.73
CD,12/01/2014,10.31
CD,12/01/2012,9.71
CD,01/01/2017,8.09
CD,06/01/2018,8.87
CD,06/01/2017,10.04
CD,12/01/2016,8.43
CD,12/01/2011,8.82
CD,12/01/2013,8.65
CD,06/01/2018,8.5
CD,12/01/2013,8.92
CD,06/01/2017,9.18
CD,06/01/2020,7.17
CD,06/01/2020,6.84
CD,12/01/2013,8.29
CD,06/01/2017,8.63
CD,12/01/2016,7.84
CD,06/01/2009,10.36
CD,12/01/2014,8.37
CD,01/01/2021,6.37
CD,12/01/2014,9.95
CD,01/01/2021,6.69
CD,12/01/2012,8.71
CD,06/01/2009,10.34
CD,12/01/2012,8.38
CD,01/01/2017,7.16
CD,01/01/2017,7.01
CD,12/01/2009,9.95
CD,06/01/2020,6.83
CD,06/01/2017,8.65
CD,12/01/2016,7.89
CD,06/01/2018,8.23
CD,12/01/2010,32.07
CD,06/01/2009,23.51
CD,01/01/2021,15.81
CD,06/01/2017,26.35
CD,06/01/2020,29.42
CD,12/01/2009,9.11
CD,12/01/2011,8.91
CD,06/01/2018,8
CD,06/01/2020,6.73
CD,06/01/2012,18.82
CD,01/01/2018,15.77
CD,06/01/2021,11.09
CD,06/01/2013,16.23
CD,06/01/2012,16.29
CD,06/01/2021,10.22
CD,12/01/2008,22.39
CD,12/01/2010,21.67
CD,12/01/2018,19.89
CD,01/01/2015,21.29
CD,01/01/2020,17.34
CD,12/01/2008,31.67
CD,01/01/2019,17.07
CD,12/01/2017,25.16
UHF42,12/01/2013,29.41
UHF42,01/01/2019,18.46
CD,12/01/2008,27.99
CD,12/01/2020,25.81
CD,12/01/2015,31.05
CD,06/01/2010,21.71
CD,06/01/2011,20.25
CD,12/01/2015,23.64
CD,06/01/2016,16.3
CD,06/01/2011,17.23
CD,06/01/2010,17.72
UHF42,01/01/2009,178.4
UHF42,01/01/2015,124.6
UHF42,01/01/2015,167.2
UHF42,01/01/2009,32.8
UHF42,12/01/2016,28.51
UHF34,12/01/2016,7.76
UHF34,12/01/2011,8.45
UHF42,12/01/2014,10.05
UHF42,01/01/2017,8.35
CD,06/01/2018,12.85
CD,12/01/2013,9.21
CD,06/01/2017,9
CD,06/01/2020,6.85
CD,12/01/2013,9.16
CD,06/01/2020,7.15
CD,12/01/2016,8.12
CD,12/01/2014,10.85
CD,12/01/2014,13.2
CD,12/01/2012,8.82
UHF42,12/01/2013,9.99
UHF42,12/01/2009,9.57
UHF42,12/01/2016,7.81
UHF42,06/01/2017,9.25
UHF42,06/01/2018,8.33
